,bathrooms,bedrooms,building_id,created,description,display_address,features,interest_level,latitude,listing_id,longitude,manager_id,photos,price,street_address
100521,2.0,2,6ce872b483cfcbb32ea805604d44ef5f,2016-04-28 05:38:29,"This is a must see breath taking  residential tower , a singular addition to the iconic Manhattan skyline.  undulating waves of stainless steel that reflect the changing light, transforming the appearance of the building throughout the day. Gehry's distinctive aesthetic is carried across the interior residential and amenity spaces with custom furnishings and installations. Everything in these apartments feels like it is custom built for you. These are must see apartments with extreme luxury details.Please feel free to contact me for any further details<br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><p><a  website_redacted ",Spruce St.,"['Balcony', 'Doorman', 'Elevator', 'Dishwasher', 'Hardwood Floors', 'No Fee', 'New Construction', 'Dogs Allowed', 'Cats Allowed']",low,40.7111,6937909,-74.0055,d2bce61e0e0079ebdc8c281e415e045b,"['https://photos.renthop.com/2/6937909_c3bb53c9831f696cb15bd2c100b077b6.jpg', 'https://photos.renthop.com/2/6937909_2ec7d2a4e545fff6c21bd14b608c8bb6.jpg', 'https://photos.renthop.com/2/6937909_403cbf7af037202d9baad8182786f25a.jpg', 'https://photos.renthop.com/2/6937909_e555a165930368934481f6d22f3a0253.jpg']",6500,8 Spruce St.
100523,1.0,1,300c5229c48b49cd3c8cf80fe61b853b,2016-04-20 06:06:19,"Fully Renovated Large Alcove Studio. New kitchen with granite counter tops and full size stainless steel appliances including dishwasher and microhood. Renovated bathroom with a tub. Lots of closets all customized.  Building features: 24 hr doorman, new renovated lobby, package room, laundry facility, live in super, and parking available *extra charge.  Contact Nathan 978-329-9727 to schedule a private showing!<br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><p><a  website_redacted ",East 19th Street,"['Doorman', 'Elevator', 'Laundry in Building', 'Dishwasher']",medium,40.7356,6901602,-73.9828,ad87505a08c0526bc5c16796f35443eb,"['https://photos.renthop.com/2/6901602_b26d06efb1b5dfffd3b9e5986319ce99.jpg', 'https://photos.renthop.com/2/6901602_afcc56e843ad84a0007351d341ebf469.jpg', 'https://photos.renthop.com/2/6901602_a85f63ceae7920ad83eeadd47eb4d2c3.jpg', 'https://photos.renthop.com/2/6901602_a436b3c6c460f195cd26ea40b945b425.jpg']",2830,245 East 19th Street
100524,1.0,2,04bfd6f28be788e8c9ff61deb8f39f6c,2016-04-27 03:12:32,<center><strong>LUXURY AMENITIES:</strong><br>  -GYM<br>-Concierge Service<br>-Elevator<br> -Laundry<br>-Lounge with FREE Wi-Fi<br> -Complementary Bike Storage<br> -Storage Room<br>-Parking<br>-Garage<br> -Pets friendly<br><br/><br/><center><strong>APARTMENT FEATURES:</strong><br>  -Bright rooms<br>-Living room with dining area<br>-Large convertible 2br<br>-Suitable for 2 king size beds<br>-Granite kitchen<br> -Dishwasher<br> -Air Conditioning<br>-Walk-in Closets<br>-Included Utilities<br>-Complete Renovation<br><br/><br/><center>Select vacant units with No Fee.<br><br/><br/><center>Appointments contact:  Alex.,E 14th St.,"['Common Outdoor Space', 'Cats Allowed', 'Dogs Allowed', 'Parking Space', 'No Fee', 'Doorman', 'Elevator', 'Fitness Center', 'Laundry In Building', 'Dining Room', 'Garden/Patio', 'Laundry in Building', 'Dishwasher', 'Hardwood Floors']",high,40.7316,6930606,-73.9839,8365f1154ced533439de202ebada41e2,"['https://photos.renthop.com/2/6930606_64ae3f073e4466448871c9a66a98f298.jpg', 'https://photos.renthop.com/2/6930606_26fa3feb2fcaf357c478d1e12c853be8.jpg', 'https://photos.renthop.com/2/6930606_8d59765ea6ed024e16f47676d31881eb.jpg', 'https://photos.renthop.com/2/6930606_c44053e55d70747c930ed02d907593d5.jpg', 'https://photos.renthop.com/2/6930606_2f446ce9122f2b90cef1ce82232f9ca9.jpg', 'https://photos.renthop.com/2/6930606_17068b3a8a426b18209bb9df2480220c.jpg', 'https://photos.renthop.com/2/6930606_a9d79910faa617ee2e02609880fd2412.jpg', 'https://photos.renthop.com/2/6930606_7294fd32ea4c7d04a63ceb777e56c34a.jpg', 'https://photos.renthop.com/2/6930606_f14dfe40ebdc079f15b5bdad367ddae2.jpg', 'https://photos.renthop.com/2/6930606_eed9e931c9bc35ac99fa27c3c8372d86.jpg', 'https://photos.renthop.com/2/6930606_1808e6399284c12ff0401858408768b9.jpg']",3400,328 E 14th St.
100526,1.0,1,0,2016-04-09 05:23:36,"Newly renovated 4th floor 1BR in Midwood ready for move-in! The bedroom (11x14) is large enough to hold a king-sized bed with ease while the living room (15x15) is very spacious. The eat-in-kitchen (10x9) can hold a table and includes a brand-new stove, refrigerator and dishwasher. Hardwood floors throughout the apartment and multiple windows provide plenty of sunshine. 4 closets are spread throughout the unit to maximize storage space. Located in a pre-war elevator building with an on-site super and laundry in the building (accessed through a separate entrance). Heat and hot water are included. Cats OK, no dogs. Two blocks away from the Avenue M Q subway station and around the corner from the B9 bus stop. First month's rent, security deposit and broker fee due at lease signing. PLEASE NOTE: tenant must make 40x the monthly rent ($62,000) and have great credit.<br /><br />Don't wait...call or text Chris Lucas at 462-879-5870 NOW to schedule a viewing!<br /><br />Please note I also have listings in the following neighborhoods: Dumbo, Brooklyn Heights, Cobble Hill, Carroll Gardens, Red Hook, Gowanus, Boerum Hill, Fort Greene, Clinton Hill, Park Slope, Crown Heights, Kensington, Bed Stuy, Prospect Heights and Lefferts Gardens. Don't hesitate to contact me to view an apartment in any of those Brooklyn hotspots!<br /><br /><p><a  website_redacted ",Ocean Ave.,"['Elevator', 'Dishwasher', 'Hardwood Floors', 'Cats Allowed']",high,40.6167,6849599,-73.955,bd33c1763df45f2f10dc6bdaa56a47b4,"['https://photos.renthop.com/2/6849599_219276d08af1a3a2736881d68c0d8b45.jpg', 'https://photos.renthop.com/2/6849599_14a747686aecd9abe38f9f9e5a53d658.jpg', 'https://photos.renthop.com/2/6849599_bbb6c326f8dcf8ddb78cab5927f59267.jpg', 'https://photos.renthop.com/2/6849599_533b30f7cebbb238148ea3fc35224ce6.jpg']",1475,1854 Ocean Ave.
10053,0.0,0,f102c15b1ff51472c24e97f5287de9fa,2016-06-12 14:12:49,        ,46th Street,[],low,40.6503,7153130,-74.0135,a59839097adcf666abedd22ce8a13f38,"['https://photos.renthop.com/2/7153130_8a050b705609c0d7494576691b451de6.jpg', 'https://photos.renthop.com/2/7153130_26713d10baba106fd2917c7a4e98944f.jpg', 'https://photos.renthop.com/2/7153130_c6a1b970a28609a6611a21762b28f8ee.jpg']",2195,250 46th Street
100535,1.0,0,56b4467acaf65e8ad7b96a6f90956716,2016-04-19 05:26:14,"Renovated Studio conveniently located in the upper west side it features Exposed Brick, Hardwood floor, Updated Bathroom, and Closet space. Steps to Subway, Shopping, and other appealing places of the city.<br /><br />-----Shpetim-Tim- Kola---WEICHERT PROPERTIES l NYC---C: 189-842-0888---E: kagglemanager@renthop.com<br /><br />++Feel free to contact me anytime and I look forward to finding your new home.<br /><br />+++++VIDEO CLIP AVAILABLE UPON REQUEST!!!<p><a  website_redacted ",West 82nd Street,['Elevator'],high,40.7852,6895162,-73.9777,18b801a90df27a4ea2452b1321a541ab,"['https://photos.renthop.com/2/6895162_e7fd7c021791f7c412f89d9d12d00eef.jpg', 'https://photos.renthop.com/2/6895162_1e029d44a79075c4aaa196054974268d.jpg', 'https://photos.renthop.com/2/6895162_31bb57d3d5ecadfbf058ada5ddee8db7.jpg', 'https://photos.renthop.com/2/6895162_3aa7bb62a2897b608193406687d9a3f7.jpg', 'https://photos.renthop.com/2/6895162_c402f4a8d09514de5618e9fe5e3c17ff.jpg']",1795,208 West 82nd Street
100536,1.0,2,8bb596a577d029e5cbc56baf134c73b7,2016-04-12 02:36:32,"The building is fully staffed with doormen and a concierge who welcome you, followed by High-speed, state-of-the-art elevators that quickly whisk you to your apartment floor.Another amazing amenity is the spectacular two-story penthouse health club. Enjoy state-of-the-art weight training, aerobics/exercise areas, sauna, steam and massage rooms plus a 45? x 35? glass-enclosed swimming pool and two outdoor sun decks. Unwind in our spacious lounge. The perfect place to rendezvous with friends.<br /><br />AMAZING OPPORTUNITY!! 2 BEDROOM -- LARGE LIVING -- LUXURY KITCHEN WITH STAINLESS STEEL APPLIANCES AND GRANITE COUNTER TOPS -- MANY CLOSETS -- HIGH FLOOR W GREAT LIGHT AND SOUTH VIEWS!!<br /><br />BEST PRICE IN THE AREA!!! WON'T STAY LONG!! NO BROKER FEE!!!<br /><br />IF YOU HAVE ANY QUESTIONS CONCERNING THE APARTMENT OR ANY OTHER AND IF YOU WOULD ALSO LIKE TO SCHEDULE FOR A VIEWING, PLEASE FEEL FREE TO CONTACT ME AT ANYTIME. I Can be reached @ Cell: 084-153-9883 or kagglemanager@renthop.com<p><a  website_redacted ",E 95 St.,"['Fireplace', 'Swimming Pool', 'Roof Deck', 'Dining Room', 'Doorman', 'Elevator', 'Fitness Center', 'Laundry in Building', 'Dishwasher', 'Hardwood Floors', 'No Fee', 'Outdoor Space', 'Dogs Allowed', 'Cats Allowed']",medium,40.7842,6858024,-73.948,e5e91eb9c964643e39094535865f391e,"['https://photos.renthop.com/2/6858024_17487eeec0ec4f461b63ea3a622e16bb.jpg', 'https://photos.renthop.com/2/6858024_4ae0fb3d1ffd286a4d89ee4ff392f1fd.jpg', 'https://photos.renthop.com/2/6858024_0849747e19c3d9691f32908b207ddb58.jpg', 'https://photos.renthop.com/2/6858024_eca1d2adb4ef5df4b82f83442e699278.jpg', 'https://photos.renthop.com/2/6858024_86899728ed152f4cafe4fabf4b206655.jpg', 'https://photos.renthop.com/2/6858024_fa181de46467f162d8e60ea4548064a4.jpg', 'https://photos.renthop.com/2/6858024_3bd6c564f869dce2b1722319668b927f.jpg']",2900,205-235 E 95 St.
100543,1.0,1,b70f31f5e92000a46f1db76f8947c6ec,2016-04-22 02:23:33,"a stately pre-war building on W 55th and 6th ave, amazing location in the heart of midtown. Central Park South just steps away this is home to some of Manhattan's most beautifully appointed luxury apartments. The apartment Features high ceilings, restored plaster moldings and beams, marble baths, entry foyer and many closets including huge walk-ins. Wausau thermopane windows for superior sound insulation. Select units have a wood burning fireplaces with marble hearths and kitchens with granite. It also features large windows fludding the apartment with natural light<br /><br />BUILDING FEATURES 24-Hour Doorman Sky's The Limit Concierge Services, Pet Friendly, New Laundry room, Fully Equipped Fitness Center.......<br /><br />For more info or to schedule an appointment to view contact: Eli 910-483-6814<br /><br /><p><a  website_redacted ",W 55th St.,"['Dining Room', 'Doorman', 'Elevator', 'Fitness Center', 'Pre-War', 'Laundry in Building', 'High Speed Internet', 'Dishwasher', 'No Fee', 'Dogs Allowed', 'Cats Allowed']",low,40.7633,6910133,-73.9785,1fb46c4a72bcf764ac35fc23f394760d,"['https://photos.renthop.com/2/6910133_741455558a6308c3f86d6b5486b0f287.jpg', 'https://photos.renthop.com/2/6910133_877271aa2bff8b440ade5e060606c0b7.jpg', 'https://photos.renthop.com/2/6910133_7805e296fe8475abf0da4609da2da7ec.jpg', 'https://photos.renthop.com/2/6910133_b40196e301124d240349bf4cca5499f0.jpg', 'https://photos.renthop.com/2/6910133_cff73d7d9561790d4afa6a7f6acdd4f6.jpg', 'https://photos.renthop.com/2/6910133_29bb3f0cb5d24c391f661881422e3023.jpg', 'https://photos.renthop.com/2/6910133_247f12f6ec1d7cb843571d51c151239c.jpg']",3250,101 W 55th St.
100544,1.0,0,81be0b4afce47cd462d246fb0a34181c,2016-04-04 11:58:32,"NO-Fee Studio in well maintained Madison Avenue elevator building. Extra high ceilings, excellent storage space & fully equipped kitchen with stainless steel appliances and Caesar Stone counters. This apartment is amazing given the price and location! Amenities at True North NoMad include live-in super, package room, elevator, laundry & free high speed WiFi. Lessees also receive a generously discounted membership to New York Health & Racquet Club.Ask me about this and other NO-FEE units from SoHo, Union Square, Chelsea, up to Midtown and Uptown. Same day showings not a problem!Photos are of a similar unit in the building.",,"['No Fee', 'Dishwasher', 'Breakfast Bar', 'Cats Allowed', 'Elevator', 'Live-In Super', 'Dogs Allowed', 'Exclusive', 'Laundry In Building', 'Stainless Steel Appliances']",low,40.7443,6822146,-73.9859,dbcd76434811399599cd512ec4302943,"['https://photos.renthop.com/2/6822146_2d1dab02e0b59259b6b22d21c571c5c4.jpg', 'https://photos.renthop.com/2/6822146_2987b799a10c4a35f03efffa8f047145.jpg', 'https://photos.renthop.com/2/6822146_fe15b8bb52e838c447d4116edaf20260.jpg']",3125,80 Madison Avenue 
100545,1.0,1,8e3b8c607c3edcf3de131c24f0390179,2016-04-06 07:20:21,"__________________________________________________________________________________________________ LARGE BRIGHT 1 BR  WITH TONS OF CHARACTER. AMAZING VIEW FROM PRIVATE BALCONY. HARDWOOD FLOORING THROUGHOUT. FULLY FITTED KITCHEN WITH STAINLESS STEEL APPLIANCES, BLACK GRANITE COUNTERTOPS AND ALDER WOODEN CABINETS. MODERN WHITE/BLACK TILED BATHROOM. FRESH LOOK AND MODERN. MUST VIEW NOW !! 1**THIS IS A LOW FEE UNIT**__________________________________________________________________________________________________<br /><br />Situated in prime time New York City, mins from Grand Central, surrounded by supermarkets, convenience stores & restaurants. live in super. elevator. laundry.__________________________________________________________________________________________________<br /><br /><br /><br />For the fastest response, text Nate - 569-529-0552 or email kagglemanager@renthop.com-----note: the pics and price are from the default model apartment and may differ from the actual unit available.<p><a  website_redacted ",E 36th St,"['Doorman', 'Elevator', 'Laundry in Building', 'Laundry in Unit', 'Dishwasher', 'Hardwood Floors']",medium,40.7462,6833238,-73.9757,4398a550168a2dde02ebd0acefa9e9be,"['https://photos.renthop.com/2/6833238_4c667d5c77cdc4527851a0084b842a2e.jpg', 'https://photos.renthop.com/2/6833238_cf8d74e11a87f8f910fa75c87de0916a.jpg', 'https://photos.renthop.com/2/6833238_8a1983d44faf7a2fa404e2216c933a76.jpg', 'https://photos.renthop.com/2/6833238_c9bf58e77e52b855fa59324321b70b64.jpg', 'https://photos.renthop.com/2/6833238_daa0cf21f25d7d31d9022d1ce216af57.jpg']",2695,236 E 36th St
100547,2.0,2,146060fb99c371080bb8f0c8e9980b9b,2016-04-05 21:47:11,PRIME Fort Greene! ~~ Elevator / Laundry! ~~ X-LARGE Layout!,Washington Ave,"['Reduced Fee', 'Elevator', 'Laundry In Building']",medium,40.6905,6827455,-73.9668,f07272f8ceb99db4c1a7cbbd9ae7b75b,"['https://photos.renthop.com/2/6827455_4ee8d7d0187fe4f6248b113ef38750f7.jpg', 'https://photos.renthop.com/2/6827455_fb7971f5444d35676432399fdcb3f84b.jpg', 'https://photos.renthop.com/2/6827455_f0627e9386dc328f98026717987e859b.jpg', 'https://photos.renthop.com/2/6827455_bc7e799923e6154f95c7ff810f5077a4.jpg', 'https://photos.renthop.com/2/6827455_49bcacb5e99cc2143021b95af5e0802b.jpg']",3000,266 Washington Ave
10055,1.0,2,d8dac27e4abe8ba86af718d9032ab8c7,2016-06-16 07:04:21,"This Spacious TRUE TWO BEDROOM apartment with city views is available unfurnished and comes with a high performance kitchen features custom Italian cabinetry, porcelain tile floor, and stainless steel appliances; the bathroom has a marble counter-top, deep bathtub. Individually controlled heating and cooling units, closets space, and wrapped large windows. This spectacular unit has it all: fantastic closet and storage space, hardwood flooring.THE BUILDING: Offers a spectacular list of amenities (included in your rent) which feature: 24-hr doorman and concierge; state-of-the-art equipment in a full-scale gym; lounge/party room; billiard and ping-pong tables; a fully landscaped Rooftop with sensational views; complete with dining tables, and lounge chairs, all for relaxation and entertaining.THE NEIGHBORHOOD: This building puts the best of the city at your doorstep; supermarkets, tons of restaurants, also few blocks from east river, the New York Stock Exchange on Wall Street, the W Hotel downtown. Whole Foods a 3-Minute Walk Away! Transportation 1/4/5/R/A/C/J/Z subway station, offering a quick easy access to the rest of the city.Best way to reach me is probably by email kagglemanager@renthop.com Or you can text me at (991-870-3267. call times are a bit limited, but feel free to text me!<br /><br /><br /><br /><br /><br /><p><a  website_redacted ",Gold Street,"['Doorman', 'Elevator', 'Fitness Center', 'Laundry in Building', 'Laundry in Unit', 'Dishwasher', 'Hardwood Floors', 'No Fee', 'New Construction', 'Dogs Allowed', 'Cats Allowed']",low,40.7087,7171381,-74.0058,2aa9bfa5f67ed9997ea341dee8a3a271,"['https://photos.renthop.com/2/7171381_4f5753a81a49a10a9126b3ac64e828bb.jpg', 'https://photos.renthop.com/2/7171381_44293453cd5c5349938a3138835928a8.jpg', 'https://photos.renthop.com/2/7171381_94afd7a78f3bfdbea03abbfcfa269bf9.jpg', 'https://photos.renthop.com/2/7171381_c0e794909133fc78fd368f6e5dea2e79.jpg', 'https://photos.renthop.com/2/7171381_ffb7365d24d83986a325e4f714c43058.jpg']",3995,40 Gold Street
100551,1.0,3,0,2016-04-12 03:09:20,"This enormous 3 bedroom apartment features an eat-in kitchen with stainless steel appliances and tons of cabinet space, a large living room, queen-sized bedrooms, renovated bathroom with soaking tub, and hardwood floors throughout. Price.is net effective after 1 month free on a 15 month lease Located in the LES, close to the FM & JZ trains, Whole Foods, Essex Street Market, Hamilton Fish Park, East River Promenade, and area favorites like Beauty & Essex, Katz?s Deli, and Clinton Baking Street Company Love this apartment? Great! Call/Text/Email me today for your private showing!<br /><br /><br /><br /><br /><br /><br /><br />-------------Listing courtesy of Miron Properties. All material herein is intended for information purposes only and has been compiled from sources deemed reliable. Though information is believed to be correct, it is presented subject to errors, omissions, changes or withdrawal without notice.  Miron Properties is a licensed Real Estate Broker.  www.MironProperties.com<p><a  website_redacted ",Ridge Street,"['Dining Room', 'Hardwood Floors', 'Outdoor Space']",low,40.7187,6858791,-73.9831,c92135646d8aa5e4f9bc5c40add47f7b,"['https://photos.renthop.com/2/6858791_7fca1225a7fad54ef8853c19f076c8d2.jpg', 'https://photos.renthop.com/2/6858791_e0ec9ce48cc61b8a8a244de82b6330e4.jpg', 'https://photos.renthop.com/2/6858791_fda579e2d3c2d012a736b68d263c16bc.jpg', 'https://photos.renthop.com/2/6858791_7504988173cc9474e2888887e645bcbe.jpg', 'https://photos.renthop.com/2/6858791_a649a2fa9c32be7fafc799a3c77c1936.jpg', 'https://photos.renthop.com/2/6858791_1dacaa17247e4ca865744a11f74fec6a.jpg', 'https://photos.renthop.com/2/6858791_86c3ed2e3df7786eaaffbf79b2fda44c.jpg']",4725,106 Ridge Street
100553,2.0,4,7b6936e72a5933904e00f20792ddd9ac,2016-04-05 02:52:32,"Gorgeous luxury 24 hour doorman building with indoor roof top swimming pool, fitness center, live in super, resident lounge, laundry room and storage room. Steps to major transportation, fine dining and shopping.<br /><br />Expensive flex 3 bed with 1.5 bath rooms apartment with 2 bathrooms, hard room flooring, high ceilings and over sized windows. Stainless steel kitchen includes microwave and washer dryer. Custom marble bathrooms with large vanities.<br /><br />For an immediate viewing contact kagglemanager@renthop.com or 501-606-3449<br /><br /><p><a  website_redacted ",E 40 St.,"['Swimming Pool', 'Roof Deck', 'Dining Room', 'Doorman', 'Elevator', 'Fitness Center', 'Laundry in Building', 'High Speed Internet', 'Dishwasher', 'Hardwood Floors']",low,40.7489,6823927,-73.9732,e6472c7237327dd3903b3d6f6a94515a,"['https://photos.renthop.com/2/6823927_7a1ce93c9ff7d434ccf89a9f0bd102c4.jpg', 'https://photos.renthop.com/2/6823927_0e942f4b546f836e6ba0863a609d8d85.jpg', 'https://photos.renthop.com/2/6823927_eba4c1b3a8516231ae9e13dd9e20e73a.jpg', 'https://photos.renthop.com/2/6823927_ae800b37508c055c2e297cee01c6ed67.jpg', 'https://photos.renthop.com/2/6823927_2fdf0128c6149eb233f25541b2089b81.jpg', 'https://photos.renthop.com/2/6823927_ccb43693e80b84ca500e4a88a7f29aa8.jpg']",5800,245 E 40 St.
100558,1.0,1,7469ec017663a54765e3686af0becb96,2016-04-11 02:50:51,"This charming 1 Bed is nestled in the heart of vibrant West Village. Steps from amazing restaurants (The Spotted Pig, Barbuto, etc.), cafes, and NYC?s Meat-Packing District hotspots, as well as the eclectic West 4th St./Washington Sq. nightlife scene. Close to major transportation and Citi Bike stations.<br /><br />Apartment Features: - True Queen-sized Bedroom with Ample Closet Space - New Kitchen with SS Appliances, Dishwasher, and Washer/Dryer (in unit) - Newly Reno'd Bath - Living Room with Custom Built-ins<br /><br />Call/txt or email Christopher and/or Adam to schedule your viewing today. C: (Christopher) 735-787-6583 // (Adam) 735-787-6583 E: kagglemanager@renthop.com // kagglemanager@renthop.com<br /><br /><p><a  website_redacted ",Christopher Street,"['Pre-War', 'Laundry in Unit', 'Dishwasher', 'Hardwood Floors', 'Dogs Allowed', 'Cats Allowed']",medium,40.7331,6855206,-74.0055,2327c59ab1ee1a49eca7124ffc05d88a,"['https://photos.renthop.com/2/6855206_021b36e865da051bc2327bb4fc002bbc.jpg', 'https://photos.renthop.com/2/6855206_eb6c0ae3b57c783c234f71f3f190c1cc.jpg', 'https://photos.renthop.com/2/6855206_74b57864f7c19d149d7da4cd1347fbd0.jpg', 'https://photos.renthop.com/2/6855206_85d839bd76d034dd80ce8ec947db3e5e.jpg', 'https://photos.renthop.com/2/6855206_73d7c79ac16cc6a5829b3cf93f25e530.jpg', 'https://photos.renthop.com/2/6855206_f1f81a6ce3d59d0d51e34e5a5b8bca1a.jpg', 'https://photos.renthop.com/2/6855206_c2cb5ed1eaa425664812421a4beb64b4.jpg', 'https://photos.renthop.com/2/6855206_95e9b663f2691d88dce0b6418439e8f3.jpg', 'https://photos.renthop.com/2/6855206_3f699f1df876aa7d2a999fe2e728c214.jpg']",3795,118 Christopher Street
100559,1.0,2,0,2016-04-21 01:36:30,"A sunny, charming, modern 2 bedroom in the E. Village. This apartment features exposed brick, french doors, Full-sized bedrooms, natural hardwood floors, a modern kitchen with stainless steel appliances and great natural light throughout. This gorgeous renovated building has beautifully restored pre-war detail, surrounded by the hottest restaurants and bars, and is closest to the L train. ",East 13th Street,"['Pre-War', 'No Fee', 'Dogs Allowed', 'Cats Allowed']",low,40.7299,6903826,-73.9819,4f79920540f0fc35876ba3521f19671d,"['https://photos.renthop.com/2/6903826_968c4dedade875fc46ec96378d55e4fc.jpg', 'https://photos.renthop.com/2/6903826_675247eedf3d1bdabc8ef80d0fabd3e5.jpg', 'https://photos.renthop.com/2/6903826_bfb71e460e549fd9ae007a4c804ca924.jpg', 'https://photos.renthop.com/2/6903826_e8bd3cf08c3b8ca39c83db76ced8959e.jpg', 'https://photos.renthop.com/2/6903826_01368088fa4aa0edb87b2aa9d15b5dcf.jpg', 'https://photos.renthop.com/2/6903826_93b6ef359e691417c93fa556c91f7773.jpg', 'https://photos.renthop.com/2/6903826_6cc69c3c59449ea5a7c9765fd7fb14a9.jpg', 'https://photos.renthop.com/2/6903826_3cb9586433e3eaba082b9a7f051fcb12.jpg']",3695,432 East 13th Street
100560,1.0,2,a01c99eb2cfdde327e1691e17d6696ba,2016-04-30 02:31:31,"Stunning Luxury building @ Prime 20?s  . 24/hrs Doorman , roof deck with gorgeous view and laundry facilities. Within close vicinity of shops, restaurant , transportation and entertainment.Amazing bright style 2 bedroom apt with newly renovated interior; granite kitchen with breakfast bar, marble bath , oak hard wood floor and ample storage space. huge living area and dining area .<br /><br />Please don't hesitate to contact me for any questions or schedule an appointment.<br /><br />Levi  Adir(300-201-9971(300-201-9971I cover all No Fee /Fee Rentals in the Area. Don?t break your head searching online and getting frustrated. Don?t hesitate to contact me with any Questions in regards to your Apartment Search!!!<br /><br /><p><a  website_redacted ",E 29 St.,"['Roof Deck', 'Balcony', 'Doorman', 'Elevator', 'Terrace', 'Laundry in Building', 'Laundry in Unit', 'Dishwasher', 'Hardwood Floors', 'No Fee', 'Outdoor Space']",low,40.7405,6945350,-73.9767,b2f322e6ea73856e1ee88bf0d08eb54c,"['https://photos.renthop.com/2/6945350_1bc4aae5854804d4eb9a0acacf96bc50.jpg', 'https://photos.renthop.com/2/6945350_79edd275e40732e15dd913b23fbfc2f9.jpg', 'https://photos.renthop.com/2/6945350_f8ab83b51a467d31f3b129f88d4944b0.jpg', 'https://photos.renthop.com/2/6945350_789480f916d322bc3ca4d74e6dbc308f.jpg']",3100,340 E 29 St.
100561,2.0,3,f10d98f7eb8b5671d904bdc965f4e200,2016-04-21 02:44:36,"Unbeatable location in this Murray Hill Flex 3 Bedroom! Featuring dark stained hardwood flooring, bright Eastern exposure, private balcony, King sized + bedroom, brand new kitchen with a dishwasher!  *Walls must be at least 12 inches from the ceiling*<br /><br />Building features a 24/7 doorman, elevator, laundry, furnished roof deck and discounted gym membership! Located just steps from the 33rd Street 6 Train!<br /><br />Contact Zack at anytime either by phone, text or email for more information or to schedule a viewing. 450-583-7583 kagglemanager@renthop.com<br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><p><a  website_redacted ",Lexington Ave.,"['Balcony', 'Doorman', 'Elevator', 'Laundry in Building', 'Dishwasher', 'Hardwood Floors', 'Outdoor Space']",low,40.7449,6904890,-73.9812,2983e45f7e0ad87d677dacd13e362785,"['https://photos.renthop.com/2/6904890_ad43edf4b703ab1d1c36d481fe7ac89c.jpg', 'https://photos.renthop.com/2/6904890_8f4557c16b0f8dc3946dd41289562ff9.jpg', 'https://photos.renthop.com/2/6904890_694a67f2128c8f32be20c815a637587b.jpg', 'https://photos.renthop.com/2/6904890_38c6815fab114332774fa9b277794939.jpg', 'https://photos.renthop.com/2/6904890_c7fb9e9222897cd379075f67ddeb6215.jpg', 'https://photos.renthop.com/2/6904890_e3fe8a89ce4b83b5c1bac7622e09eb43.jpg', 'https://photos.renthop.com/2/6904890_0bf993404441d3c55ff1bf2b547f387c.jpg', 'https://photos.renthop.com/2/6904890_6c3f4554212158871072f9a8665a924c.jpg', 'https://photos.renthop.com/2/6904890_cdcf6efe000f4427d77a5ae8cd8f7f36.jpg', 'https://photos.renthop.com/2/6904890_a40ea9a615510146e7580221f682d796.jpg']",6150,184 Lexington Ave.
100563,1.0,1,14dc0fbfba429131eec42c3bb545fb45,2016-04-21 17:48:04,Rare find.Large Duplex / Triplex 1 bdrm on E 87th Street and First.,East 87th Street and First Ave,"['Triplex', 'Dishwasher', 'On-site super']",medium,40.7775,6908847,-73.9483,92758310b2a962b943484e8be0237a19,"['https://photos.renthop.com/2/6908847_7c93dfe3c4be919db6bb3c96f65e5153.jpg', 'https://photos.renthop.com/2/6908847_b0633366504881d58212dba2a39a289b.jpg', 'https://photos.renthop.com/2/6908847_c74e1c9455d9a391c39061927619cb71.jpg', 'https://photos.renthop.com/2/6908847_3481aeb089d476c00840b38e05eae7f3.jpg', 'https://photos.renthop.com/2/6908847_325fb858118285111b18748eda0d8115.jpg', 'https://photos.renthop.com/2/6908847_dd2cea528587a077bc813014783ff30a.jpg', 'https://photos.renthop.com/2/6908847_4c6e189bd0814e429f0eee0408b17619.jpg', 'https://photos.renthop.com/2/6908847_aa109be1d9e4e85e9468909533c2b22c.jpg', 'https://photos.renthop.com/2/6908847_ce43aff878be4242ada86f6ea58bacf7.jpg', 'https://photos.renthop.com/2/6908847_024f8a6a7d45254b0ea02bc0c9a004f5.jpg']",2550,403 E 87th Street
